Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Age_Group
1,Travel_Rarely,Sales,1,College,Life Sciences,Female,High,2,Sales Executive,Very High,Single,5993,1,8,0,Bad,6,38-42
0,Travel_Frequently,Research & Development,8,Below College,Life Sciences,Male,Medium,2,Research Scientist,Medium,Married,5130,0,10,3,Better,10,48-52
1,Travel_Rarely,Research & Development,2,College,Other,Male,Medium,1,Laboratory Technician,High,Single,2090,1,7,3,Better,0,33-37
0,Travel_Frequently,Research & Development,3,Master,Life Sciences,Female,High,1,Research Scientist,High,Married,2909,1,8,3,Better,8,28-32
0,Travel_Rarely,Research & Development,2,Below College,Medical,Male,High,1,Laboratory Technician,Medium,Married,3468,0,6,3,Better,2,23-27
0,Travel_Frequently,Research & Development,2,College,Life Sciences,Male,High,1,Laboratory Technician,Very High,Single,3068,0,8,2,Good,7,28-32
0,Travel_Rarely,Research & Development,3,Bachelor,Medical,Female,Very High,1,Laboratory Technician,Low,Married,2670,1,12,3,Good,1,58-62
0,Travel_Rarely,Research & Development,24,Below College,Life Sciences,Male,High,1,Laboratory Technician,High,Divorced,2693,0,1,2,Better,1,28-32
0,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,Male,Medium,3,Manufacturing Director,High,Single,9526,0,10,2,Better,9,33-37
0,Travel_Rarely,Research & Development,27,Bachelor,Medical,Male,High,2,Healthcare Representative,High,Married,5237,0,17,3,Good,7,33-37
0,Travel_Rarely,Research & Development,16,Bachelor,Medical,Male,Very High,1,Laboratory Technician,Medium,Married,2426,0,6,5,Better,5,33-37
0,Travel_Rarely,Research & Development,15,College,Life Sciences,Female,Medium,2,Laboratory Technician,High,Single,4193,1,10,3,Better,9,28-32
0,Travel_Rarely,Research & Development,26,Below College,Life Sciences,Male,High,1,Research Scientist,High,Divorced,2911,0,5,1,Good,5,28-32
0,Travel_Rarely,Research & Development,19,College,Medical,Male,High,1,Laboratory Technician,Very High,Divorced,2661,0,3,2,Better,2,33-37
1,Travel_Rarely,Research & Development,24,Bachelor,Life Sciences,Male,Medium,1,Laboratory Technician,High,Single,2028,1,6,4,Better,4,23-27
0,Travel_Rarely,Research & Development,21,Master,Life Sciences,Female,Very High,3,Manufacturing Director,Low,Divorced,9980,0,10,1,Better,10,28-32
0,Travel_Rarely,Research & Development,5,College,Life Sciences,Male,Very High,1,Research Scientist,Medium,Divorced,3298,1,7,5,Good,6,28-32
0,Non-Travel,Research & Development,16,College,Medical,Male,Very High,1,Laboratory Technician,Very High,Divorced,2935,1,1,2,Good,1,18-22
0,Travel_Rarely,Sales,2,Master,Life Sciences,Female,Medium,4,Manager,Very High,Married,15427,0,31,3,Better,25,48-52
0,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Male,High,1,Research Scientist,Very High,Single,3944,1,6,3,Better,3,33-37
0,Non-Travel,Research & Development,11,College,Other,Female,Very High,2,Manufacturing Director,High,Divorced,4011,0,5,5,Good,4,23-27
1,Travel_Rarely,Sales,9,Master,Life Sciences,Male,Medium,1,Sales Representative,Low,Single,3407,0,10,4,Better,5,33-37
0,Travel_Rarely,Research & Development,7,Master,Life Sciences,Female,High,3,Research Director,Medium,Single,11994,0,13,4,Better,12,33-37
0,Travel_Rarely,Research & Development,15,College,Life Sciences,Male,High,1,Research Scientist,Very High,Single,1232,0,0,6,Better,0,18-22
1,Travel_Rarely,Research & Development,6,Below College,Medical,Male,High,1,Research Scientist,Low,Single,2960,0,8,2,Better,4,33-37
0,Travel_Rarely,Research & Development,5,Bachelor,Other,Female,High,5,Manager,High,Divorced,19094,0,26,3,Good,14,48-52
1,Travel_Frequently,Research & Development,16,Below College,Life Sciences,Female,Low,1,Research Scientist,Low,Single,3919,1,10,5,Better,10,28-32
0,Travel_Rarely,Sales,8,Master,Marketing,Male,High,2,Sales Executive,Medium,Married,6825,0,10,2,Better,9,38-42
0,Travel_Rarely,Research & Development,7,Master,Medical,Female,Medium,3,Healthcare Representative,Very High,Married,10248,0,24,4,Better,22,43-47
